Model	Dataset	MAP	NDCG	P.10
BM25	Validation	0.6013961148428822	0.6610206346093003	0.07244897959183665
BM25	Test	0.6142467875929084	0.6660166284192361	0.07244897959183665
TF-IDF	Validation	0.6354609792322125	0.6929780323043205	0.07448979591836724
TF-IDF	Test	0.6903467232503074	0.7338250683742746	0.07959183673469376
